cycle,sim_time_s,n_aircraft,n_clusters_observed,max_complexity_observed,n_open_tracks,status_counts,n_resolved_tracks,best_resolution_score
156,2355.0,0,0,0.0,0,{},0,
157,2370.0,0,0,0.0,0,{},0,
158,2385.0,0,0,0.0,0,{},0,
159,2400.0,0,0,0.0,0,{},0,
160,2415.0,0,0,0.0,0,{},0,
161,2430.0,0,0,0.0,0,{},0,
162,2445.0,0,0,0.0,0,{},0,
163,2460.0,0,0,0.0,0,{},0,
164,2475.0,0,0,0.0,0,{},0,
165,2490.0,0,0,0.0,0,{},0,
166,2505.0,0,0,0.0,0,{},0,
167,2520.0,0,0,0.0,0,{},0,
168,2535.0,0,0,0.0,0,{},0,
169,2550.0,0,0,0.0,0,{},0,
170,2565.0,0,0,0.0,0,{},0,
171,2580.0,0,0,0.0,0,{},0,
172,2595.0,0,0,0.0,0,{},0,
173,2610.0,0,0,0.0,0,{},0,
174,2625.0,0,0,0.0,0,{},0,
175,2640.0,0,0,0.0,0,{},0,
176,2655.0,0,0,0.0,0,{},0,
177,2670.0,0,0,0.0,0,{},0,
178,2685.0,0,0,0.0,0,{},0,
179,2700.0,0,0,0.0,0,{},0,
